# PARKED — not used by the engine or tests. Foreign or proper-noun tokens: crawl forms with >= 30
# occurrences, >= 80 % title case, no tutuq, not a lite word, whose skeleton matches a lite word
# that is not itself a proper noun — the tokens autocorrect() could turn into a common word.
form	crawl_count	title_share	collides_with
şarja	2012	1.00	sarja
öff	1759	1.00	off
şabab	1016	0.98	sabab
deşam	984	1.00	desam
eşli	895	0.99	esli
ömon	776	0.94	omon
kisida	752	0.98	kişida
boka	751	0.96	böka
sunday	604	0.91	şunday
joş	579	0.94	jöş
sisi	573	0.87	şişi
sumi	500	0.82	şumi
kastan	487	0.99	kaştan
qoşiqçi	471	0.95	qöşiqçi
yosin	440	0.84	yösin
bogdan	435	1.00	boğdan
sou	434	0.82	şou
serik	381	0.94	şerik
toriq	367	0.94	töriq
kork	342	0.90	körk
şokin	329	0.99	sokin
yosida	326	0.81	yoşida
çong	302	0.97	çöng
singh	292	0.98	sing
hong	268	0.94	höng
jonas	268	1.00	jönaş
sosa	250	0.81	şoşa
polat	244	0.88	pölat
ğazni	221	1.00	gazni
masud	220	0.98	masʼud
koç	205	0.94	köç
şimon	175	0.96	simon
marsal	173	0.97	marşal
söxga	137	1.00	şoxga
poliş	134	0.91	polis
afşona	126	0.98	afsona
soyib	116	0.94	söyib
öşga	116	0.99	oşga
kayşi	114	1.00	kaysi
suning	106	0.81	şuning
ghost	105	0.90	göşt
skala	104	0.81	şkala
nigher	104	0.99	niger
şehri	89	0.86	sehri
sahid	88	0.98	şahid
beşt	87	0.88	best
semurg	84	0.97	semurğ
donis	84	0.89	doniş
mişra	80	1.00	misra
mişkin	76	0.99	miskin
burgi	74	0.82	burği
ovşar	71	0.83	ovsar
şabo	67	0.86	sabo
sams	66	0.85	şams
egis	63	0.93	egiş
şirli	59	0.96	sirli
otis	56	0.88	ötiş
goşa	55	0.90	göşa
strix	54	0.95	ştrix
şalom	53	0.89	salom
aşt	50	0.90	ast
sariy	47	0.86	şarʼiy
şotar	47	0.98	sotar
aşir	45	0.91	asir
şexlar	42	0.98	sexlar
minuş	42	0.98	minus
şano	40	0.98	sano
şafar	39	0.85	safar
garbi	39	0.85	ğarbi
osiris	38	1.00	oşiriş
osga	37	0.91	oşga
hirş	35	0.98	hirs
sagal	34	0.92	şağal
koray	31	0.95	köray
saydo	30	0.80	şaydo
osni	30	0.87	oşni
silas	30	0.93	silaş
