kind	script	form	output
letters substituted	new	мину	mino
letters substituted	new	гулларига	gollariga
letters substituted	new	osyapti	oşyapti
letters substituted	new	sell	şell
letters substituted	new	yasamagan	yaşamagan
letters substituted	new	Тоқаевга	Töqayevga
letters substituted	new	кузак	kozak
letters substituted	new	захарланди	zaharlandi
letters substituted	new	Sadullayeva	Saʼdullayeva
letters substituted	new	хунармандларга	hunarmandlarga
letters substituted	new	хокимларни	hokimlarni
letters substituted	new	Улссон	Olsson
letters substituted	new	Erdog'anni	Erdöğanni
letters substituted	new	Хожиматов	Hojimatov
letters substituted	new	гунохларга	gunohlarga
letters substituted	new	Камчибек	Qamçibek
letters substituted	new	ислохотларига	islohotlariga
letters substituted	new	хохласак	xohlasak
letters substituted	new	Хаус	Xaos
letters substituted	new	хохламади	xohlamadi
letters substituted	new	ванихоят	vanihoyat
letters substituted	new	бахсдан	bahsdan
letters substituted	new	мўжизалари	möʼjizalari
letters substituted	new	такидлашмоқда	taʼkidlaşmoqda
letters substituted	new	сархисоби	sarhisobi
letters substituted	old	мину	mino
letters substituted	old	гулларига	gollariga
letters substituted	old	osyapti	oshyapti
letters substituted	old	sell	shell
letters substituted	old	yasamagan	yashamagan
letters substituted	old	Тоқаевга	Toʻqayevga
letters substituted	old	кузак	kozak
letters substituted	old	захарланди	zaharlandi
letters substituted	old	Sadullayeva	Saʼdullayeva
letters substituted	old	хунармандларга	hunarmandlarga
letters substituted	old	хокимларни	hokimlarni
letters substituted	old	Улссон	Olsson
letters substituted	old	Erdog'anni	Erdoʻgʻanni
letters substituted	old	Хожиматов	Hojimatov
letters substituted	old	гунохларга	gunohlarga
letters substituted	old	Камчибек	Qamchibek
letters substituted	old	ислохотларига	islohotlariga
letters substituted	old	хохласак	xohlasak
letters substituted	old	Хаус	Xaos
letters substituted	old	хохламади	xohlamadi
letters substituted	old	ванихоят	vanihoyat
letters substituted	old	бахсдан	bahsdan
letters substituted	old	мўжизалари	moʻʼjizalari
letters substituted	old	такидлашмоқда	taʼkidlashmoqda
letters substituted	old	сархисоби	sarhisobi
letters substituted	cyrillic	мину	мино
letters substituted	cyrillic	гулларига	голларига
letters substituted	cyrillic	osyapti	ошяпти
letters substituted	cyrillic	sell	шелл
letters substituted	cyrillic	yasamagan	яшамаган
letters substituted	cyrillic	Тоқаевга	Тўқаевга
letters substituted	cyrillic	кузак	козак
letters substituted	cyrillic	захарланди	заҳарланди
letters substituted	cyrillic	Sadullayeva	Саъдуллаева
letters substituted	cyrillic	хунармандларга	ҳунармандларга
letters substituted	cyrillic	хокимларни	ҳокимларни
letters substituted	cyrillic	Улссон	Олссон
letters substituted	cyrillic	Erdog'anni	Эрдўғанни
letters substituted	cyrillic	Хожиматов	Ҳожиматов
letters substituted	cyrillic	гунохларга	гуноҳларга
letters substituted	cyrillic	Камчибек	Қамчибек
letters substituted	cyrillic	ислохотларига	ислоҳотларига
letters substituted	cyrillic	хохласак	хоҳласак
letters substituted	cyrillic	Хаус	Хаос
letters substituted	cyrillic	хохламади	хоҳламади
letters substituted	cyrillic	ванихоят	ваниҳоят
letters substituted	cyrillic	бахсдан	баҳсдан
letters substituted	cyrillic	мўжизалари	мўъжизалари
letters substituted	cyrillic	такидлашмоқда	таъкидлашмоқда
letters substituted	cyrillic	сархисоби	сарҳисоби
word now in lexicon	new	ro'yxatlariga	röyxatlariga
word now in lexicon	new	sinfdoshi	sinfdoşi
word now in lexicon	new	terrorchilarni	terrorçilarni
word now in lexicon	new	o‘qishlar	öqişlar
word now in lexicon	new	Do‘stmatov	Döstmatov
word now in lexicon	new	iyuligacha	iyuligaça
word now in lexicon	new	o‘rtog‘ingiz	örtoğingiz
word now in lexicon	new	islomshunos	islomşunos
word now in lexicon	new	oʻchirishni	öçirişni
word now in lexicon	new	o‘ldirilgani	öldirilgani
word now in lexicon	new	yetakchisining	yetakçisining
word now in lexicon	new	Qoraqamish	Qoraqamiş
word now in lexicon	new	tasdiqlashni	tasdiqlaşni
word now in lexicon	new	namoyishchilarning	namoyişçilarning
word now in lexicon	new	ko'rilmasa	körilmasa
word now in lexicon	new	chiqilgach	çiqilgaç
word now in lexicon	new	keltirishgan	keltirişgan
word now in lexicon	new	Patrushev	Patruşev
word now in lexicon	new	o‘qimasdan	öqimasdan
word now in lexicon	new	cheklovi	çeklovi
word now in lexicon	new	ko'rmayapmiz	körmayapmiz
word now in lexicon	new	ishlatgani	işlatgani
word now in lexicon	new	oʻtganlarni	ötganlarni
word now in lexicon	new	birlashtira	birlaştira
word now in lexicon	new	Ko‘rishguncha	Körişgunça
word now in lexicon	new	lochinlari	loçinlari
word now in lexicon	new	shundogʻam	şundoğam
word now in lexicon	new	boshlovchilik	boşlovçilik
word now in lexicon	new	yo‘lkira	yölkira
word now in lexicon	new	shartligini	şartligini
word now in lexicon	new	so'rovlarga	sörovlarga
word now in lexicon	new	portlashda	portlaşda
word now in lexicon	new	taqchillik	taqçillik
word now in lexicon	new	bo'lmoqdamiz	bölmoqdamiz
word now in lexicon	new	barchangiz	barçangiz
word now in lexicon	new	toʻlashadi	tölaşadi
word now in lexicon	new	qatnashdim	qatnaşdim
word now in lexicon	new	obunachiga	obunaçiga
word now in lexicon	new	tayinlashga	tayinlaşga
word now in lexicon	new	qoʻshilmoqda	qöşilmoqda
word now in lexicon	new	do’stimga	döstimga
word now in lexicon	new	qoʻrqishadi	qörqişadi
word now in lexicon	new	kiyishni	kiyişni
word now in lexicon	new	qiruvchilari	qiruvçilari
word now in lexicon	new	chempionatlar	çempionatlar
word now in lexicon	new	bo'lishimga	bölişimga
word now in lexicon	new	chiqarilgani	çiqarilgani
word now in lexicon	new	ko'rishguncha	körişgunça
word now in lexicon	new	ishlashgan	işlaşgan
word now in lexicon	new	Tug‘ilajak	Tuğilajak
word now in lexicon	new	bo’lmaganman	bölmaganman
word now in lexicon	new	chiqilganidan	çiqilganidan
word now in lexicon	new	mag'lubiyatsiz	mağlubiyatsiz
word now in lexicon	new	uchoq	uçoq
word now in lexicon	new	qo’mitasidan	qömitasidan
word now in lexicon	new	cheklashi	çeklaşi
word now in lexicon	new	mishlarni	mişlarni
word now in lexicon	new	politsiyachilarga	politsiyaçilarga
word now in lexicon	new	do'zaxda	dözaxda
word now in lexicon	new	Daxshatli	Daxşatli
word now in lexicon	new	to'lamaydi	tölamaydi
word now in lexicon	new	shar'an	şarʼan
word now in lexicon	new	tanishmoqda	tanişmoqda
word now in lexicon	new	Bitiruvchilarga	Bitiruvçilarga
word now in lexicon	new	obunachisi	obunaçisi
word now in lexicon	new	teleboshlovchi	teleboşlovçi
word now in lexicon	new	to‘xtatgani	töxtatgani
word now in lexicon	new	Ro'zioxunov	Rözioxunov
word now in lexicon	new	nishonlarni	nişonlarni
word now in lexicon	new	quvvatlanish	quvvatlaniş
