form	new_latin_output
Aytishingiz	Aytişingiz
Bakshi	Bakşi
Beshko	Beşko
Bitiruvchilarga	Bitiruvçilarga
Bo‘lmabdi	Bölmabdi
Chekindimmi	Çekindimmi
Cheksizlikni	Çeksizlikni
Chikagodagi	Çikagodagi
Chirchik	Çirçik
Chumchuqlarga	Çumçuqlarga
Chung	Çung
Dushmaning	Duşmaning
Endichi	Endiçi
Erdog'anni	Erdoğanni
Erdo’g’anning	Erdöğanning
Fikrlashda	Fikrlaşda
Finishga	Finişga
Fransuzchada	Fransuzçada
Gʻoliblarning	Ğoliblarning
G‘olibimiz	Ğolibimiz
Ichindagi	Içindagi
Jamshidni	Jamşidni
Kichkinalar	Kiçkinalar
Koʻnamizmi	Könamizmi
Ko‘rishguncha	Körişgunça
Ko’rgazmadagi	Körgazmadagi
Ko’rlik	Körlik
Kuchsizlar	Kuçsizlar
Maishatbozlik	Maişatbozlik
Maslahatchining	Maslahatçining
Mitich	Mitiç
Musiqachining	Musiqaçining
Nashriyotning	Naşriyotning
Obunachilarning	Obunaçilarning
Oʻparman	Öparman
Oʻquvchilarim	Öquvçilarim
Oʻzbekistonniki	Özbekistonniki
Oʻzimdagi	Özimdagi
O‘ninchisiga	Öninçisiga
Qamchibek	Qamçibek
Qarashsa	Qaraşsa
Qiziquvchanlik	Qiziquvçanlik
Qorabog‘da	Qoraboğda
Qoraqalpogʻistonga	Qoraqalpoğistonga
Qoshingiz	Qoşingiz
Qo‘shimchasiga	Qöşimçasiga
Quvonchbek	Quvonçbek
Rashidovni	Raşidovni
Senikichi	Senikiçi
Shakllanibmiz	Şakllanibmiz
Shanel	Şanel
Shantal	Şantal
Sharle	Şarle
Sharta	Şarta
Shiddatim	Şiddatim
Shirning	Şirning
Shohimardonsoy	Şohimardonsoy
Shohruxga	Şohruxga
Shoshling	Şoşling
Shoudan	Şoudan
Shukurning	Şukurning
Shundagi	Şundagi
Shushi	Şuşi
Sizchi	Sizçi
So'raganlar	Söraganlar
Sochimni	Soçimni
Sovg'aning	Sovğaning
So‘nmasin	Sönmasin
Tinchlikdan	Tinçlikdan
To‘g‘riku	Töğriku
To‘xtaboev	Töxtaboev
Tug'ilishimiz	Tuğilişimiz
Turkchadan	Turkçadan
Tushundingiz	Tuşundingiz
Tushunmading	Tuşunmading
VATANDOSHLIK	VATANDOŞLIK
Xurshidaxon	Xurşidaxon
Yaratuvchilarning	Yaratuvçilarning
Yomg‘irlarda	Yomğirlarda
Yoshingni	Yoşingni
adabiyotshunosning	adabiyotşunosning
adashyapti	adaşyapti
afg‘onni	afğonni
afsuslanishni	afsuslanişni
aksilterrorchilik	aksilterrorçilik
almashtirganda	almaştirganda
andishani	andişani
artilleriyachi	artilleriyaçi
arzonlashgan	arzonlaşgan
arzonlashtirilgan	arzonlaştirilgan
asabiylashtiradi	asabiylaştiradi
atalishiga	atalişiga
avtomashinada	avtomaşinada
ayblovchi	ayblovçi
ayqashib	ayqaşib
aytishyapti	aytişyapti
bag'ishlaydigan	bağişlaydigan
bag‘ringga	bağringga
bahslashishadi	bahslaşişadi
baletchi	baletçi
barchangiz	barçangiz
barqarorlashdi	barqarorlaşdi
bekorchilikdan	bekorçilikdan
bekorchilikka	bekorçilikka
beringchi	beringçi
berishlariga	berişlariga
berishmas	berişmas
bermaguncha	bermagunça
beruvching	beruvçing
bilinishi	bilinişi
biluvchiroq	biluvçiroq
birnchi	birnçi
bitiruvchisiman	bitiruvçisiman
bo'g'zimni	böğzimni
bo'htonlarga	böhtonlarga
bo'lavering	bölavering
bo'layapman	bölayapman
bo'layotganlar	bölayotganlar
bo'lganni	bölganni
bo'linadimi	bölinadimi
bo'linishlar	bölinişlar
bo'lishganini	bölişganini
bo'lishimga	bölişimga
bo'lmading	bölmading
bo'lmagandim	bölmagandim
bo'lmasligida	bölmasligida
bo'lmoqchimisan	bölmoqçimisan
bo'lmoqdamiz	bölmoqdamiz
bo'ydoqman	böydoqman
